Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas
América Central e Caribe;2;Cuba;55;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;2
América Central e Caribe;2;Guatemala;84;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1
América Central e Caribe;2;Panamá;170;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1
América Central e Caribe;2;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
América do Norte;3;Canadá;38;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;4
América do Norte;3;Estados Unidos;68;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;7
América do Norte;3;México;148;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;21
América do Sul;4;Argentina;11;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;70
América do Sul;4;Bolívia;26;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;771
América do Sul;4;Chile;42;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;10
América do Sul;4;Colômbia;48;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;23
América do Sul;4;Equador;63;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;8
América do Sul;4;Guiana Francesa;87;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
América do Sul;4;Paraguai;173;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1676
América do Sul;4;Peru;174;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;127
América do Sul;4;Guiana;86;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
América do Sul;4;Suriname;217;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
América do Sul;4;Uruguai;234;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;4
América do Sul;4;Venezuela;238;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
