"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"262","América do Norte","2010-10-01",0,1,0,0,61018,2.38426898732293e-06
"263","América do Norte","2010-11-01",0,1,0,0,65703,1.46257703663843e-06
"264","América do Norte","2010-12-01",1,0,0,0,100402,6.94938445752742e-06
"265","América do Norte","2011-01-01",1,0,0,0,46548,-1.1699588894451e-05
"266","América do Norte","2011-02-01",1,0,0,0,62458,2.9283310352714e-06
"267","América do Norte","2011-03-01",0,0,1,0,76736,4.42288881489857e-06
"268","América do Norte","2011-04-01",0,0,1,0,57189,-4.70731350996031e-06
"269","América do Norte","2011-05-01",0,0,1,0,61781,1.00649371387093e-06
"270","América do Norte","2011-06-01",0,0,0,1,59503,-6.56929521043397e-07
"271","América do Norte","2011-07-01",0,0,0,1,54525,-1.41414705752425e-06
"272","América do Norte","2011-08-01",0,0,0,1,64793,2.89965650041327e-06
"273","América do Norte","2011-09-01",0,1,0,0,52148,-3.98187515875745e-06
"274","América do Norte","2011-10-01",0,1,0,0,56778,1.31284393304243e-06
"275","América do Norte","2011-11-01",0,1,0,0,66737,3.09907561180447e-06
"276","América do Norte","2011-12-01",1,0,0,0,70560,9.81082284335579e-07
"277","América do Norte","2012-01-01",1,0,0,0,51681,-4.66567575057606e-06
"278","América do Norte","2012-02-01",1,0,0,0,55862,1.10252486591484e-06
"279","América do Norte","2012-03-01",0,0,1,0,74406,5.54656875984204e-06
"280","América do Norte","2012-04-01",0,0,1,0,54973,-5.41861065021741e-06
"281","América do Norte","2012-05-01",0,0,1,0,59368,1.03369627532173e-06
"282","América do Norte","2012-06-01",0,0,0,1,64480,1.5025510256042e-06
"283","América do Norte","2012-07-01",0,0,0,1,54707,-2.76855252338723e-06
"284","América do Norte","2012-08-01",0,0,0,1,63089,2.21083678496738e-06
"285","América do Norte","2012-09-01",0,1,0,0,52706,-3.28691258569354e-06
"286","América do Norte","2012-10-01",0,1,0,0,56863,1.20330905450605e-06
"287","América do Norte","2012-11-01",0,1,0,0,58172,4.31815605749853e-07
"288","América do Norte","2012-12-01",1,0,0,0,70276,3.32423908670564e-06
"289","América do Norte","2013-01-01",1,0,0,0,49379,-6.06658038067527e-06
"290","América do Norte","2013-02-01",1,0,0,0,59900,2.74846708013032e-06
"291","América do Norte","2013-03-01",0,0,1,0,73111,4.03617588670691e-06
"292","América do Norte","2013-04-01",0,0,1,0,60919,-3.04563808529755e-06
"293","América do Norte","2013-05-01",0,0,1,0,61285,8.19302412954019e-08
"294","América do Norte","2013-06-01",0,0,0,1,64593,8.62964444443045e-07
"295","América do Norte","2013-07-01",0,0,0,1,78522,3.18630651084677e-06
"296","América do Norte","2013-08-01",0,0,0,1,62722,-3.47818768307013e-06
"297","América do Norte","2013-09-01",0,1,0,0,41597,-5.23018025530027e-06
"298","América do Norte","2013-10-01",0,1,0,0,59998,5.83978793806059e-06
"299","América do Norte","2013-11-01",0,1,0,0,54726,-2.21103233182976e-06
"300","América do Norte","2013-12-01",1,0,0,0,70423,4.20315673734235e-06
"301","América do Norte","2014-01-01",1,0,0,0,43867,-8.64959224819487e-06
"302","América do Norte","2014-02-01",1,0,0,0,59918,4.42773854900195e-06
"303","América do Norte","2014-03-01",0,0,1,0,42517,-7.82075284070252e-06
"304","América do Norte","2014-04-01",0,0,1,0,50448,2.85455300328794e-06
"305","América do Norte","2014-05-01",0,0,1,0,60054,4.09956146158553e-06
"306","América do Norte","2014-06-01",0,0,0,1,186246,2.24354627151531e-05
"307","América do Norte","2014-07-01",0,0,0,1,75425,-1.50519465060421e-05
"308","América do Norte","2014-08-01",0,0,0,1,60038,-1.22505229621364e-06
"309","América do Norte","2014-09-01",0,1,0,0,50189,-2.37562898115842e-06
"310","América do Norte","2014-10-01",0,1,0,0,54093,1.24769160001495e-06
"311","América do Norte","2014-11-01",0,1,0,0,59994,2.06299726552483e-06
"312","América do Norte","2014-12-01",1,0,0,0,102180,9.84399842273279e-06
"313","América do Norte","2015-01-01",1,0,0,0,32375,-1.91577398386997e-05
"314","América do Norte","2015-02-01",1,0,0,0,61516,6.28215681696981e-06
"315","América do Norte","2015-03-01",0,0,1,0,72706,5.16221184572698e-06
"316","América do Norte","2015-04-01",0,0,1,0,57160,-3.91068273329576e-06
"317","América do Norte","2015-05-01",0,0,1,0,64076,1.57092297441161e-06
"318","América do Norte","2015-06-01",0,0,0,1,70133,1.58018825215538e-06
"319","América do Norte","2015-07-01",0,0,0,1,63361,-1.58475730573903e-06
"320","América do Norte","2015-08-01",0,0,0,1,54854,-2.05571442809218e-06
"321","América do Norte","2015-09-01",0,1,0,0,31888,-8.56118664090019e-06
"322","América do Norte","2015-10-01",0,1,0,0,62961,1.24017523537564e-05
"323","América do Norte","2015-11-01",0,1,0,0,74935,5.45990918256289e-06
"324","América do Norte","2015-12-01",1,0,0,0,88485,2.63991955379028e-06
"325","América do Norte","2016-01-01",1,0,0,0,56198,-6.0579419102603e-06
"326","América do Norte","2016-02-01",1,0,0,0,66079,1.83047778548351e-06
"327","América do Norte","2016-03-01",0,0,1,0,67354,3.40070757078055e-07
"328","América do Norte","2016-04-01",0,0,1,0,52276,-3.83518088345443e-06
"329","América do Norte","2016-05-01",0,0,1,0,52149,-3.61132067475865e-08
"330","América do Norte","2016-06-01",0,0,0,1,67689,4.98926236462186e-06
"331","América do Norte","2016-07-01",0,0,0,1,66676,-2.89144894430254e-07
"332","América do Norte","2016-08-01",0,0,0,1,110430,7.45374828965117e-06
"333","América do Norte","2016-09-01",0,1,0,0,51079,-1.15635068423457e-05
"334","América do Norte","2016-10-01",0,1,0,0,43977,-1.35567041440545e-06
"335","América do Norte","2016-11-01",0,1,0,0,46791,1.214278015658e-06
"336","América do Norte","2016-12-01",1,0,0,0,54364,3.41113066728753e-06
