"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"164","Continente não especificado",2002-08-01,0,0,0,1,674,-0.0920810313075506
"165","Continente não especificado",2002-09-01,0,1,0,0,619,-0.0759668508287293
"166","Continente não especificado",2002-10-01,0,1,0,0,624,0.00741839762611276
"167","Continente não especificado",2002-11-01,0,1,0,0,617,-0.0113085621970921
"168","Continente não especificado",2002-12-01,1,0,0,0,763,0.233974358974359
"169","Continente não especificado",2003-01-01,1,0,0,0,250,-0.831442463533225
"170","Continente não especificado",2003-02-01,1,0,0,0,463,0.27916120576671
"171","Continente não especificado",2003-03-01,0,0,1,0,227,-0.944
"172","Continente não especificado",2003-04-01,0,0,1,0,203,-0.0518358531317495
"173","Continente não especificado",2003-05-01,0,0,1,0,309,0.466960352422908
"174","Continente não especificado",2003-06-01,0,0,0,1,352,0.211822660098522
"175","Continente não especificado",2003-07-01,0,0,0,1,249,-0.333333333333333
"176","Continente não especificado",2003-08-01,0,0,0,1,882,1.79829545454545
"177","Continente não especificado",2003-09-01,0,1,0,0,742,-0.562248995983936
"178","Continente não especificado",2003-10-01,0,1,0,0,821,0.0895691609977324
"179","Continente não especificado",2003-11-01,0,1,0,0,792,-0.0390835579514825
"180","Continente não especificado",2003-12-01,1,0,0,0,442,-0.426309378806334
"181","Continente não especificado",2004-01-01,1,0,0,0,299,-0.180555555555556
"182","Continente não especificado",2004-02-01,1,0,0,0,537,0.538461538461538
"183","Continente não especificado",2004-03-01,0,0,1,0,191,-1.1571906354515
"184","Continente não especificado",2004-04-01,0,0,1,0,238,0.0875232774674116
"185","Continente não especificado",2004-05-01,0,0,1,0,319,0.424083769633508
"186","Continente não especificado",2004-06-01,0,0,0,1,387,0.285714285714286
"187","Continente não especificado",2004-07-01,0,0,0,1,321,-0.206896551724138
"188","Continente não especificado",2004-08-01,0,0,0,1,284,-0.0956072351421189
"189","Continente não especificado",2004-09-01,0,1,0,0,238,-0.143302180685358
"190","Continente não especificado",2004-10-01,0,1,0,0,236,-0.00704225352112676
"191","Continente não especificado",2004-11-01,0,1,0,0,219,-0.0714285714285714
"192","Continente não especificado",2004-12-01,1,0,0,0,386,0.707627118644068
"193","Continente não especificado",2005-01-01,1,0,0,0,223,-0.744292237442922
"194","Continente não especificado",2005-02-01,1,0,0,0,304,0.209844559585492
"195","Continente não especificado",2005-03-01,0,0,1,0,146,-0.708520179372197
